"","go_ids","Freq"
"266","GO:0004363",80
"267","GO:0004365",80
"268","GO:0004370",82
"269","GO:0004372",1
"270","GO:0004375",160
"271","GO:0004379",3
"272","GO:0004382",76
"273","GO:0004386",548
"274","GO:0004411",81
"275","GO:0004418",44
"276","GO:0004425",160
"277","GO:0004462",80
"278","GO:0004477",5
"279","GO:0004479",44
"280","GO:0004486",5
"281","GO:0004488",5
"282","GO:0004497",82
"283","GO:0004505",82
"284","GO:0004518",1099
"285","GO:0004519",559
"286","GO:0004520",200
"287","GO:0004521",323
"288","GO:0004523",80
"289","GO:0004525",82
"290","GO:0004526",80
"291","GO:0004527",379
"292","GO:0004529",94
"293","GO:0004532",166
"294","GO:0004536",294
"295","GO:0004540",650
"296","GO:0004549",80
"297","GO:0004550",4
"298","GO:0004551",81
"299","GO:0004553",75
"300","GO:0004588",4
"301","GO:0004590",4
"302","GO:0004592",37
"303","GO:0004595",80
"304","GO:0004596",3
"305","GO:0004605",80
"306","GO:0004619",36
"307","GO:0004634",80
"308","GO:0004637",5
"309","GO:0004638",80
"310","GO:0004639",79
"311","GO:0004642",80
"312","GO:0004643",80
"313","GO:0004644",160
"314","GO:0004647",43
"315","GO:0004648",44
"316","GO:0004652",160
"317","GO:0004657",2
"318","GO:0004659",284
"319","GO:0004672",200
"320","GO:0004673",79
"321","GO:0004674",120
"322","GO:0004712",41
"323","GO:0004713",41
"324","GO:0004719",40
"325","GO:0004721",162
"326","GO:0004735",40
"327","GO:0004742",80
"328","GO:0004746",2
"329","GO:0004749",81
"330","GO:0004751",80
"331","GO:0004764",80
"332","GO:0004765",80
"333","GO:0004766",1
"334","GO:0004784",80
"335","GO:0004797",81
"336","GO:0004798",80
"337","GO:0004801",80
"338","GO:0004802",80
"339","GO:0004803",8
"340","GO:0004808",98
"341","GO:0004810",80
"342","GO:0004812",760
"343","GO:0004813",41
"344","GO:0004815",80
"345","GO:0004816",80
"346","GO:0004817",81
"347","GO:0004818",36
"348","GO:0004820",80
"349","GO:0004826",160
"350","GO:0004827",80
"351","GO:0004828",1
"352","GO:0004831",80
"353","GO:0004832",41
"354","GO:0004834",80
"355","GO:0004849",80
"356","GO:0004857",159
"357","GO:0004860",41
"358","GO:0004861",41
"359","GO:0004866",37
"360","GO:0004888",81
"361","GO:0004930",81
"362","GO:0004953",81
"363","GO:0004954",81
"364","GO:0004955",81
"365","GO:0004957",81
"366","GO:0005048",274
"367","GO:0005198",2260
"368","GO:0005215",1737
"369","GO:0005216",1
"370","GO:0005261",1
"371","GO:0005267",1
"372","GO:0005283",3
"373","GO:0005298",3
"374","GO:0005319",159
"375","GO:0005337",3
"376","GO:0005342",41
"377","GO:0005343",3
"378","GO:0005345",2
"379","GO:0005350",2
"380","GO:0005351",2
"381","GO:0005355",1
"382","GO:0005365",1
"383","GO:0005402",2
"384","GO:0005415",2
"385","GO:0005416",3
"386","GO:0005488",13071
"387","GO:0005504",160
"388","GO:0005506",239
"389","GO:0005507",161
"390","GO:0005515",4597
"391","GO:0005524",1644
"392","GO:0005525",306
"393","GO:0005542",4
"394","GO:0005543",80
"395","GO:0005575",23477
"396","GO:0005576",483
"397","GO:0005615",80
"398","GO:0005618",399
"399","GO:0005622",17978
"400","GO:0005623",23283
"401","GO:0005634",525
"402","GO:0005635",273
"403","GO:0005654",123
"404","GO:0005655",80
"405","GO:0005657",80
"406","GO:0005694",247
"407","GO:0005730",392
"408","GO:0005732",195
"409","GO:0005737",16694
"410","GO:0005739",196
"411","GO:0005773",166
"412","GO:0005774",91
"413","GO:0005783",43
"414","GO:0005789",2
"415","GO:0005794",118
"416","GO:0005811",37
"417","GO:0005829",14091
"418","GO:0005840",2175
"419","GO:0005856",141
"420","GO:0005886",5574
"421","GO:0005887",2041
"422","GO:0005950",1
"423","GO:0005960",160
"424","GO:0005975",1212
"425","GO:0005976",413
"426","GO:0005979",81
"427","GO:0005996",395
"428","GO:0006002",2
"429","GO:0006006",155
"430","GO:0006007",37
"431","GO:0006012",80
"432","GO:0006014",80
"433","GO:0006015",81
"434","GO:0006020",80
"435","GO:0006022",855
"436","GO:0006023",607
"437","GO:0006024",607
"438","GO:0006026",161
"439","GO:0006027",161
"440","GO:0006040",166
"441","GO:0006047",45
"442","GO:0006048",44
"443","GO:0006050",77
"444","GO:0006051",77
"445","GO:0006053",77
"446","GO:0006054",77
"447","GO:0006063",36
"448","GO:0006064",36
"449","GO:0006066",323
"450","GO:0006067",80
"451","GO:0006071",82
"452","GO:0006081",481
"453","GO:0006082",5745
"454","GO:0006084",116
"455","GO:0006085",116
"456","GO:0006086",116
"457","GO:0006089",80
"458","GO:0006090",269
"459","GO:0006091",1028
"460","GO:0006094",118
"461","GO:0006096",153
"462","GO:0006098",160
"463","GO:0006099",401
"464","GO:0006101",401
"465","GO:0006103",36
"466","GO:0006106",80
"467","GO:0006107",80
"468","GO:0006108",160
"469","GO:0006109",81
"470","GO:0006113",23
"471","GO:0006115",80
"472","GO:0006119",166
"473","GO:0006120",84
"474","GO:0006139",10953
"475","GO:0006144",4
"476","GO:0006163",2048
"477","GO:0006164",1558
"478","GO:0006165",157
"479","GO:0006166",4
"480","GO:0006167",81
"481","GO:0006168",4
"482","GO:0006177",40
"483","GO:0006183",41
"484","GO:0006188",159
"485","GO:0006189",159
"486","GO:0006195",160
"487","GO:0006203",160
"488","GO:0006206",87
"489","GO:0006207",4
"490","GO:0006208",3
"491","GO:0006212",3
"492","GO:0006213",245
"493","GO:0006220",409
"494","GO:0006221",284
"495","GO:0006222",84
"496","GO:0006226",40
"497","GO:0006227",80
"498","GO:0006233",80
"499","GO:0006235",80
"500","GO:0006244",160
"501","GO:0006253",40
"502","GO:0006259",2577
"503","GO:0006260",1098
"504","GO:0006261",815
"505","GO:0006265",80
"506","GO:0006266",80
"507","GO:0006268",81
"508","GO:0006269",81
"509","GO:0006270",80
"510","GO:0006271",162
"511","GO:0006273",80
"512","GO:0006275",163
"513","GO:0006276",240
"514","GO:0006281",1454
"515","GO:0006282",6
"516","GO:0006283",81
"517","GO:0006284",316
"518","GO:0006285",116
"519","GO:0006288",80
"520","GO:0006289",162
"521","GO:0006298",327
"522","GO:0006301",2
"523","GO:0006302",179
"524","GO:0006304",80
"525","GO:0006305",80
"526","GO:0006306",80
"527","GO:0006308",130
"528","GO:0006310",812
"529","GO:0006313",8
"530","GO:0006351",780
"531","GO:0006352",83
"532","GO:0006353",160
"533","GO:0006354",80
"534","GO:0006355",1185
"535","GO:0006364",1356
"536","GO:0006378",80
"537","GO:0006396",3360
"538","GO:0006397",202
"539","GO:0006399",2563
"540","GO:0006400",1480
"541","GO:0006401",406
"542","GO:0006402",246
"543","GO:0006412",3460
"544","GO:0006413",122
"545","GO:0006414",201
"546","GO:0006415",201
"547","GO:0006417",614
